"manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
NULL,NULL,4948938,214314,0.041507561513557736,2021250,0.40842095819345486,9.306262070771547
AEROSPATIALE,AS 355F1,716,0,0.0,253,0.35335195530726254,6.298882681564246
AIRBUS,A319-131,6604,5,7.565441065214102E-4,2311,0.3499394306480921,10.543004239854634
AIRBUS,A320-232,122879,123,9.99983740101787E-4,52111,0.4240838548490792,9.681214853636504
AIRBUS INDUSTRIE,A319-112,48674,37,7.595820245940342E-4,17826,0.36623248551588117,5.410136828697046
AIRBUS INDUSTRIE,A320-231,49067,922,0.018444057692692393,24364,0.49654553977214827,14.444310840279618
AVIAT AIRCRAFT INC,A-1B,611,0,0.0,241,0.3944353518821604,9.857610474631752
BOEING,717-200,226319,1599,0.00701568107828254,76852,0.33957378744162003,7.854660898996549
BOEING,737-282,3539,8,0.002255427121511136,756,0.2136196665724781,-1.0457756428369596
BOEING,737-2Y5,1770,3,0.001692047377326565,326,0.18418079096045198,-1.9033898305084747
BOEING,737-3A4,10016,0,0.0,4943,0.4935103833865815,11.671126198083067
BOEING,737-4S3,3230,19,0.005847953216374269,1411,0.4368421052631579,12.507430340557276
BOEING,737-7Q8,717,8,0.011034482758620689,213,0.29707112970711297,5.0697350069735005
BOEING,737-8FH,1192,2,0.0016750418760469012,579,0.48573825503355705,11.081375838926174
BOEING,737-990,13632,72,0.005253940455341506,6655,0.4881895539906103,10.803917253521126
BOEING,757-26D,2528,24,0.009404388714733543,1235,0.4885284810126582,6.670886075949367
BOEING,767-201,461,0,0.0,292,0.6334056399132321,13.11062906724512
BOEING,767-2B7,2329,0,0.0,1062,0.45598969514813226,8.126663804207814
BOEING,767-324,25,1,0.038461538461538464,17,0.68,16.32
BOEING,777-224,196,0,0.0,135,0.6887755102040817,11.51530612244898
BOMBARDIER INC,CL-600-2B19,585426,7164,0.012089302890700147,219000,0.3740865626056923,11.043897947819195
CESSNA,172E,416,0,0.0,190,0.4567307692307692,10.423076923076923
CESSNA,182P,2653,0,0.0,1064,0.40105540897097625,8.394270637014701
DOUGLAS,DC-7BF,437,0,0.0,179,0.4096109839816934,9.931350114416476
EMBRAER,EMB-120,15997,0,0.0,5520,0.34506469963118086,6.314558979808714
EMBRAER,EMB-145EP,47370,0,0.0,17757,0.3748575047498417,10.847287312645134
EMBRAER,ERJ 190-100 IGW,26689,3,1.1239322643488685E-4,11129,0.41698827232193036,15.722882086252763
FRIEDEMANN JON,VANS AIRCRAFT RV6,2661,0,0.0,1015,0.3814355505449079,8.19052987598647
GULFSTREAM AEROSPACE,G-IV,507,0,0.0,170,0.33530571992110453,7.566074950690335
MCDONNELL DOUGLAS,DC-9-32,34399,904,0.025606888932951873,10979,0.3191662548329893,6.609058402860549
MCDONNELL DOUGLAS,DC-9-41,22488,625,0.02704105914420456,8287,0.3685076485236571,8.236303806474565
MCDONNELL DOUGLAS,DC-9-83(MD-83),105914,269,0.002533362214290423,40146,0.37904337481352796,9.262722586249222
RAVEN,S-50A,2676,0,0.0,1058,0.3953662182361734,10.862107623318385
WOBIG WAYNE R,FALCON-XP,2703,0,0.0,1021,0.37772844987051424,7.4136145024047355
AERO COMMANDER,690A,399,0,0.0,176,0.44110275689223055,12.884711779448622
AIRBUS,A319-114,45296,287,0.00629620691924621,14510,0.320337336630166,4.560954609678559
AIRBUS,A319-132,11674,79,0.006721688079639241,4631,0.3966935069384958,6.145023128319342
AIRBUS,A330-223,2,0,0.0,2,1.0,64.5
AIRBUS INDUSTRIE,A319-131,76364,38,4.973691788173084E-4,29670,0.38853386412445656,10.693743125032737
AIRBUS INDUSTRIE,A320-214,14036,0,0.0,6407,0.45646907950983184,7.833428327158734
AIRBUS INDUSTRIE,A320-232,230178,538,0.002331871218294353,103911,0.45143758308787113,11.167939594574634
BEECH,60,2665,0,0.0,957,0.3590994371482176,7.945966228893059
BELL,206B,2799,0,0.0,1037,0.37048946052161486,8.034655234012147
BOEING,737-322,220225,165,7.486728072961568E-4,104262,0.4734339879668521,13.642856169826315
BOEING,737-3H4,234976,0,0.0,115438,0.49127570475282584,10.921289833855372
BOEING,737-490,43813,327,0.007408246488445854,17320,0.39531645858535136,8.682217606646429
BOEING,737-724,34835,0,0.0,12949,0.37172384096454714,8.690971723840965
BOEING,737-76N,37424,246,0.00653039554021768,18136,0.48460880718255667,12.345339888841385
BOEING,737-832,69733,582,0.00827703903861196,25196,0.36132103881949723,6.266688655299499
BOEING,757-212,8199,157,0.018788894207754907,4874,0.5944627393584584,9.539821929503598
BOEING,757-23N,372,0,0.0,256,0.6881720430107527,15.49731182795699
BOEING,767-3CB,2017,0,0.0,586,0.29053049082796234,4.3520079325731285
BOEING,767-432ER,17074,64,0.003734391410899755,7601,0.44517980555230174,8.26836125102495
CESSNA,421C,5179,0,0.0,1882,0.3633906159490249,7.719830083027611
DEHAVILLAND,DHC-8-202,36152,1504,0.03994051412789462,10787,0.29837906616508075,8.754259791989378
DIAMOND AIRCRAFT IND INC,DA 20-A1,1112,10,0.008912655971479501,480,0.4316546762589928,9.490107913669064
DOUGLAS,DC-9-31,79565,2429,0.029624118837963752,25084,0.31526424935587255,6.860089235216489
EMBRAER,EMB-120ER,161340,0,0.0,62986,0.3903929589686377,8.059445890665675
