"manu_year","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
NULL,5119165,216260,0.04053285352150953,2086015,0.40749126078178766,9.350600146703613
0,4315,0,0.0,1775,0.41135573580533025,9.457705677867903
1956,437,0,0.0,179,0.4096109839816934,9.931350114416476
1962,2720,0,0.0,1004,0.36911764705882355,7.316544117647059
1968,67061,1678,0.024411178515835262,22657,0.3378565783391241,7.315235382711263
1974,3153,0,0.0,1204,0.3818585474151602,7.860450364732001
1980,19645,406,0.02024836666500424,7734,0.3936879613133113,9.585747009417155
1986,191203,914,0.00475751755440695,82129,0.4295382394627699,9.848328739611826
1992,332232,3406,0.010147837849111245,144799,0.43583700546605986,9.37457258783019
1998,399933,1794,0.004465719257107439,162097,0.4053103894902396,9.770701592516746
2004,320157,1693,0.0052602143855833465,134305,0.4194973091327068,11.10881848593034
1957,952,9,0.009365244536940686,323,0.3392857142857143,5.609243697478991
1963,3045,0,0.0,1132,0.37175697865353036,7.553694581280788
1969,37574,1033,0.02675680576061336,12118,0.3225102464470112,6.73763772821632
1975,24820,344,0.013670322683198219,9449,0.3807010475423046,9.034206285253827
1987,321147,2051,0.006345955111108361,136928,0.42637172385231686,9.32124541098002
1993,179147,1641,0.009076929884726862,75625,0.4221393604135152,8.936314869911302
1999,392834,2453,0.0062056176904375804,153773,0.39144524150149934,10.192745536282501
2005,266646,1121,0.00418647555524019,113002,0.42379034375164076,11.096131200168013
1964,2744,0,0.0,1101,0.4012390670553936,7.822157434402333
1970,6015,196,0.031556915150539364,1921,0.3193682460515378,6.719368246051538
1976,25630,614,0.023395823807346443,10287,0.4013655872024971,9.466133437378073
1982,6775,0,0.0,2749,0.4057564575645756,8.725756457564575
1988,353087,2097,0.0059039821613586195,152974,0.433247329978164,9.210310773265512
1994,222727,728,0.0032579266518985924,94479,0.42419194799014037,10.14845079402138
2000,386933,2199,0.005651038722078883,147682,0.38167331295082096,9.614550839551033
2006,81353,290,0.0035520497776906777,35856,0.44074588521627966,11.293781421705408
1959,5011,0,0.0,1827,0.36459788465376175,8.497106365994812
1965,2688,0,0.0,997,0.3709077380952381,8.208705357142858
1971,2699,80,0.02878733357322778,811,0.3004816598740274,5.744349759170063
1977,13584,313,0.02252284665755199,5324,0.3919316843345112,9.779299175500588
1983,31382,8,2.548582351067219E-4,11825,0.3768083614811038,7.663883755018801
1989,307538,2422,0.007813911472448058,140653,0.4573516118333344,10.329890940306564
1995,208766,969,0.004620115860490619,88828,0.42549074082944544,9.151504555339471
2001,520427,2447,0.004679903762665576,191917,0.36876833830681344,8.614954643014293
2007,3272,0,0.0,1256,0.38386308068459657,8.501833740831296
1966,1556,14,0.008917197452229299,498,0.32005141388174807,12.162596401028278
1972,416,0,0.0,163,0.3918269230769231,7.072115384615385
1978,22238,502,0.022075637642919966,8487,0.3816440327367569,8.296834247684144
1984,65384,466,0.007076689445709947,30759,0.4704361923406338,10.06397589624373
1990,357696,2809,0.007791847547190746,163146,0.45610238862050456,10.10995649937377
1996,232575,2662,0.011316247018963853,97119,0.41758142534666237,10.320653552617435
2002,430961,2320,0.005354492811824197,168288,0.39049473154183323,10.294574219012857
1967,39258,1254,0.030953791469194313,12854,0.32742370981710733,7.5896377808344795
1973,7336,124,0.016621983914209115,2602,0.35468920392584513,7.68252453653217
1979,30055,668,0.021742668359209714,12034,0.40039926800865083,10.246647812344037
1985,196203,1021,0.005176854743844562,87725,0.4471134488259609,9.841714958486873
1991,360890,2775,0.007630649086384447,159306,0.4414253650696888,9.346138712627116
1997,247052,2004,0.008046383142747013,104892,0.42457458348849636,11.815136084710911
2003,401763,2658,0.00657235900212897,156721,0.3900832082595958,10.497243399715753
