"year","manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
1998,AEROSPATIALE,AS 355F1,171,0,0.0,68,0.39766081871345027,7.105263157894737
1998,AIRBUS INDUSTRIE,A319-112,1290,0,0.0,887,0.6875968992248062,17.275193798449614
1998,AIRBUS INDUSTRIE,A320-231,27006,683,0.02466683520531619,13480,0.4991483374065023,18.338739539361622
1998,AVIAT AIRCRAFT INC,A-1B,126,0,0.0,58,0.4603174603174603,7.896825396825397
1998,BOEING,737-4S3,1835,0,0.0,693,0.3776566757493188,9.007629427792915
1998,BOEING,757-26D,1470,19,0.012760241773002015,769,0.5231292517006803,6.331972789115646
1998,BOEING,767-2B7,1948,0,0.0,809,0.4152977412731006,6.348049281314168
1998,BOEING,767-324,11,0,0.0,10,0.9090909090909091,26.727272727272727
1998,BOEING,777-224,178,0,0.0,118,0.6629213483146067,10.634831460674157
1998,CESSNA,172E,157,0,0.0,76,0.4840764331210191,7.764331210191083
1998,CESSNA,182P,1285,0,0.0,541,0.421011673151751,7.142412451361868
1998,DOUGLAS,DC-7BF,144,0,0.0,72,0.5,12.493055555555555
1998,FRIEDEMANN JON,VANS AIRCRAFT RV6,1329,0,0.0,516,0.38826185101580135,5.618510158013544
1998,MCDONNELL DOUGLAS,DC-9-32,17832,601,0.03260456789453697,6246,0.3502691790040377,7.618494840735756
1998,MCDONNELL DOUGLAS,DC-9-41,12424,424,0.03300124533001245,4944,0.39793947198969737,9.393110109465551
1998,MCDONNELL DOUGLAS,DC-9-83(MD-83),53817,0,0.0,19011,0.3532526896705502,7.127580504301615
1998,RAVEN,S-50A,1325,0,0.0,531,0.4007547169811321,7.729811320754717
1998,WOBIG WAYNE R,FALCON-XP,1304,0,0.0,499,0.38266871165644173,5.8565950920245395
2006,AERO COMMANDER,1121,269,0,0.0,110,0.40892193308550184,15.951672862453531
2006,AEROSPATIALE,ATR 72-212,11794,458,0.037381651975187724,5406,0.4583686620315415,17.14693912158725
2006,AIRBUS,A319-111,58529,590,0.009979871107427393,24948,0.42625023492627584,5.117258111363597
2006,AIRBUS,A320-212,2827,19,0.0066760365425158116,1057,0.37389458790237,6.540502299257163
2006,AIRBUS INDUSTRIE,A320-211,36724,229,0.006197061131707845,15303,0.41670297353229496,9.102712122862433
2006,BAUMAN RANDY,FALCON-XP,830,0,0.0,344,0.41445783132530123,12.802409638554217
2006,BEECH,E-90,280,0,0.0,102,0.36428571428571427,6.896428571428571
2006,BOEING,737-2P6,2745,4,0.0014550745725718443,591,0.21530054644808744,-1.6193078324225865
2006,BOEING,737-301,14031,0,0.0,6730,0.47965219870287223,10.57159147601739
2006,BOEING,737-3B7,26615,36,0.0013507935912348504,11929,0.4482058989291753,8.516738681194814
2006,BOEING,737-3L9,5286,0,0.0,2736,0.5175936435868331,11.917139614074914
2006,BOEING,737-3TO,51112,0,0.0,21837,0.4272382219439662,11.665968852715604
2006,BOEING,737-790,24645,328,0.01313418491971329,8651,0.35102454858997767,5.642970176506391
2006,BOEING,757-224,20355,0,0.0,9809,0.48189633996561043,12.65644804716286
2006,BOEING,757-251,46317,282,0.0060516320092705855,19423,0.4193492670077941,9.841980266424855
