"year","manu_year","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
1998,NULL,3419758,125948,0.035521275593633536,1385767,0.40522370296377697,9.129527586454948
1998,1956,144,0,0.0,72,0.5,12.493055555555555
1998,1962,1299,0,0.0,479,0.3687451886066205,4.745958429561201
1998,1968,35426,1096,0.0300093094573134,12924,0.3648168012194433,8.1300457291255
1998,1974,1500,0,0.0,586,0.39066666666666666,5.494666666666666
1998,1980,10260,294,0.02785673678226265,4166,0.4060428849902534,9.706335282651072
1998,1986,89328,689,0.0076541097792639165,38718,0.43343632455668996,8.841595020598245
1998,1992,178616,1833,0.010157994779688444,85083,0.47634590406234606,9.28258386706678
1998,1998,68780,472,0.006815687633570149,31362,0.45597557429485314,8.273146263448677
2006,1966,1556,14,0.008917197452229299,498,0.32005141388174807,12.162596401028278
2006,1972,280,0,0.0,102,0.36428571428571427,6.896428571428571
2006,1978,11747,168,0.01409987410826689,4132,0.3517493828211458,6.30280071507619
2006,1984,33019,147,0.004432249894470241,14906,0.45143705139465157,10.753899270117206
2006,1990,159557,1079,0.006717049727333848,66599,0.4173994246570191,10.191348546287534
2006,1996,189499,2020,0.01054725640798041,76158,0.40189130285647945,10.503422181647396
2006,2002,430961,2320,0.005354492811824197,168288,0.39049473154183323,10.294574219012857
1998,1963,1492,0,0.0,543,0.36394101876675605,4.794906166219839
1998,1969,19236,673,0.03380380732332111,6839,0.35553129548762735,7.841495113329175
1998,1975,12508,236,0.018518518518518517,4935,0.39454748960665176,8.324112567956508
1998,1987,163997,1327,0.00802666279548039,72314,0.44094709049555786,8.41243437379952
1998,1993,66371,683,0.01018582038357145,32290,0.48650766147865787,8.115411851561676
2006,1967,17912,451,0.02456025703861025,5154,0.28774006252791423,5.89052032157213
2006,1973,3714,44,0.011708355508249068,1221,0.3287560581583199,6.9415724286483576
2006,1979,13398,187,0.013765182186234818,5170,0.38587848932676516,9.797507090610539
2006,1985,122872,251,0.0020386117947093557,54346,0.44229767562992384,10.220009440718798
2006,1991,170057,1126,0.00657775596875858,68723,0.4041174429750025,10.414619803948089
2006,1997,183202,1838,0.009932987462170341,77631,0.4237453739587996,13.142580321175533
2006,2003,401763,2658,0.00657235900212897,156721,0.3900832082595958,10.497243399715753
1998,1964,1385,0,0.0,587,0.42382671480144407,6.79783393501805
1998,1970,2929,108,0.035561409285479094,1048,0.35780129737111643,8.357801297371116
1998,1976,13285,402,0.029370935924599984,5537,0.4167858487015431,10.150395182536695
1998,1982,2637,0,0.0,1035,0.3924914675767918,6.701554797117937
1998,1988,178127,1332,0.007422308159523903,80401,0.45136896708528185,7.706344349817827
1998,1994,68379,90,0.0013144634798229857,28749,0.42043609880226385,7.817049094020094
2006,NULL,1699407,90312,0.05046155290299762,700248,0.41205432247837037,9.795469831535353
2006,0,4315,0,0.0,1775,0.41135573580533025,9.457705677867903
2006,1956,293,0,0.0,107,0.3651877133105802,8.672354948805461
2006,1962,1421,0,0.0,525,0.3694581280788177,9.66643209007741
2006,1968,31635,582,0.018064996740851103,9733,0.30766556029713926,6.402781729097518
2006,1974,1653,0,0.0,618,0.3738656987295826,10.007259528130671
2006,1980,9385,112,0.011793197851953248,3568,0.3801811401172083,9.453915823122003
2006,1986,101875,225,0.0022037218413320275,43411,0.426120245398773,10.731072392638037
2006,1992,153616,1573,0.010136027682374395,59716,0.38873554838037705,9.481531871680033
2006,1998,331153,1322,0.003976238814948492,130735,0.39478730375385396,10.081741672278373
2006,2004,320157,1693,0.0052602143855833465,134305,0.4194973091327068,11.10881848593034
1998,1959,2452,0,0.0,856,0.34910277324632955,5.506933115823817
1998,1965,1426,0,0.0,486,0.34081346423562414,4.2812061711079945
1998,1971,1360,49,0.0347764371894961,444,0.3264705882352941,6.83235294117647
1998,1977,6677,204,0.029646853654992006,2722,0.4076681144226449,10.158005092107233
1998,1983,13522,0,0.0,5372,0.39727850909628754,6.3364147315485875
1998,1989,169537,1463,0.008555555555555556,82540,0.48685537670243073,10.576924211234125
1998,1995,54304,636,0.011576265016381508,24222,0.44604449027695936,7.119346641131409
1998,2001,176,0,0.0,78,0.4431818181818182,11.301136363636363
1998,2007,1455,0,0.0,574,0.3945017182130584,5.815807560137457
2006,1957,952,9,0.009365244536940686,323,0.3392857142857143,5.609243697478991
2006,1963,1553,0,0.0,589,0.3792659368963297,10.204121056020606
2006,1969,18338,360,0.019253396085142795,5279,0.2878721779910568,5.579725160868143
2006,1975,12312,108,0.008695652173913044,4514,0.36663417803768683,9.755604288499026
2006,1987,157150,724,0.0045859356195447004,64614,0.41116131084950686,10.269653197581928
2006,1993,112776,958,0.008423162818506339,43335,0.38425728878484783,9.4194332127403
2006,1999,392834,2453,0.0062056176904375804,153773,0.39144524150149934,10.192745536282501
2006,2005,266646,1121,0.00418647555524019,113002,0.42379034375164076,11.096131200168013
1998,1972,136,0,0.0,61,0.4485294117647059,7.4338235294117645
1998,1978,10491,334,0.030854503464203233,4355,0.41511771995043373,10.52959679725479
1998,1984,32365,319,0.009760127279402765,15853,0.48981924918893865,9.360111231268345
1998,1990,198139,1730,0.008655669463498591,96547,0.4872690384023337,10.044413265434871
1998,1996,43076,642,0.01468502676243195,20961,0.4866050701086452,9.51662178475253
2006,1964,1359,0,0.0,514,0.37821927888153056,8.86607799852833
2006,1970,3086,88,0.027725267800882167,873,0.2828904731043422,5.164290343486714
2006,1976,12345,212,0.016883013458628655,4750,0.3847711624139328,8.72976913730255
2006,1982,4138,0,0.0,1714,0.4142097631706138,10.01570807153214
2006,1988,174960,765,0.004353393085787452,72573,0.4147976680384088,10.741500914494742
2006,1994,154348,638,0.004116500845237635,65730,0.4258558581905823,11.181304584445538
2006,2000,386933,2199,0.005651038722078883,147682,0.38167331295082096,9.614550839551033
2006,2006,81353,290,0.0035520497776906777,35856,0.44074588521627966,11.293781421705408
1998,1967,21346,803,0.03625445844056165,7700,0.36072332052843625,9.015412723695306
1998,1973,3622,80,0.021609940572663425,1381,0.3812810601877416,8.442297073440088
1998,1979,16657,481,0.02806628544754347,6864,0.4120790058233776,10.607912589301796
1998,1985,73331,770,0.010391222790515648,33379,0.4551826649029742,9.207852068020346
